,0
325,0.16168159
326,0.20836797
327,0.12033321
328,0.25389895
329,0.050883424
330,0.255262
331,0.16877955
332,0.3399275
333,0.15847442
334,0.15847442
335,0.15847442
336,0.34877318
337,0.10153291
338,0.10153291
339,0.28712657
340,0.07036423
341,0.10108039
342,0.10108039
343,0.060764316
344,0.19601624
345,0.16687234
346,0.10474917
347,0.22237618
348,0.097299896
349,0.095199466
350,0.23312952
351,0.23312952
352,0.13117965
353,0.26775593
354,0.22377178
355,0.22441472
356,0.05442464
357,0.11955227
358,0.3080057
359,0.24140663
360,0.2853447
361,0.063914075
362,0.2892306
363,0.2892306
364,0.15122521
365,0.24298458
366,0.12858492
367,0.15297946
368,0.18576843
369,0.17595422
370,0.06473662
371,0.09842903
372,0.14028113
373,0.11634821
374,0.07522566
375,0.20142615
376,0.20142615
377,0.20142615
378,0.28813323
379,0.28496653
380,0.28723624
381,0.344832
382,0.1915262
383,0.30646968
384,0.06861557
385,0.16488205
386,0.16488205
387,0.17094697
388,0.17094697
389,0.16488205
390,0.16025466
391,0.13485684
392,0.15344578
393,0.1586369
394,0.19334233
395,0.3532898
396,0.28877267
397,0.1790174
398,0.046452515
399,0.26939633
400,0.102065526
401,0.18404654
402,0.11404362
403,0.1805872
404,0.11404362
405,0.16928074
406,0.36086887
407,0.25104454
408,0.08158159
409,0.29983494
410,0.2700844
411,0.25962752
412,0.08550802
413,0.2283449
414,0.21880236
415,0.27040425
416,0.20392092
417,0.29662967
418,0.2556869
419,0.08108526
420,0.16895907
421,0.06091753
422,0.24035668
423,0.14795825
424,0.1879278
425,0.31010818
426,0.24562481
427,0.14003624
428,0.22032407
429,0.1947862
430,0.22244178
431,0.19006155
432,0.2247406
433,0.069787756
434,0.19051191
435,0.14994203
436,0.33171186
437,0.2779741
438,0.13814127
439,0.16483182
440,0.18786897
441,0.13425176
442,0.18786897
443,0.30779192
444,0.18786897
445,0.17892565
446,0.079943955
447,0.26492044
448,0.26492044
449,0.11241783
450,0.22021149
451,0.23552544
452,0.16890353
453,0.30911177
454,0.09221713
455,0.22379261
456,0.18153188
457,0.2822605
458,0.2594507
459,0.17786403
460,0.14310455
461,0.2698734
462,0.14012736
